tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,jCRlIcGLjhK_71Z1f2cQFgL3KneKFrvGcsULliGvkgnqvck,whisper snow,1002,1000,943,True,False,False,False
CHALLENGER,AXvo14reysLtM_cWW-yUAbZkMh8wu7ZJ_rf9xyWJMn5vqLk,Liiv Croco,1401,551,468,True,False,False,True
CHALLENGER,rRF8COLtqh1MSbGVfYVqi454DSWxEXLJN7IH_x4-LwpI_eiP,KT Bonnie,1037,379,269,True,False,False,False
CHALLENGER,sGAR7JuUz1fsL3kWN2tFe6x3xl76m_vOHxBkDV7Qs0HvJwZ5,sukuna,875,330,270,False,False,False,True
CHALLENGER,yG_u05fCQfX6iOiatqVOwMMjqkGZJbytLF821bgmjA3RF0gT,YoneKing,915,324,213,False,False,False,True
CHALLENGER,7lGBF9oskmz3-8its2fNEaWqp6b9r-I97tA9vzk_Te7Tu2bn,힘내다잘될거야,866,173,51,False,False,False,True
CHALLENGER,B8yS9aYmKZyqwypsrOwfM0gBbZjRo9yGdGKgNDFad_1Y0z4,고파 우 개미,949,490,419,False,False,False,False
CHALLENGER,hq-kOUi_hn5zVybiQ_8j8QI6Vs_bGU6egePFMOVeNd9ULtQ,버 돌,1278,354,312,True,False,False,False
CHALLENGER,ysRGdkT6RwlI0dktEWdHADuTxdQ0oijaxsD--DWLz2ZKds4,7777케이,871,867,806,True,False,False,False
CHALLENGER,m8peAJhu0aln9CkaAhQuWp3Xz98xyTk3NJ1su21PRc4-dEc,weibiusamD,951,643,586,False,False,False,False
CHALLENGER,OFgqk9nWXj8nC6m0pPm2rAjUn3q38tHTUpINQM3pSmxN8oU,DWG Canyon,1460,566,452,False,False,False,True
CHALLENGER,ZpnITyxkM5NLLMTGd2XEErZ-hI6yDXqgFD0vsUJNY9C4GjY,3Death is sry,973,1011,946,False,False,True,False
CHALLENGER,4MZouRndMJfuLIfKzRPtE3QLVkdFLBH_H5rX-wRYi-KWRg,DRX 게르세르끼,948,300,228,False,False,False,False
CHALLENGER,jp--F6VUd4_z4RPaRyWRTICQSrXsrMg29xri3QcRpqe8YA,동해운수,1095,469,409,True,False,False,False
CHALLENGER,BxLRtx9rGziLS8PPKChXVOdkTWCst6I-s6mfGjut9E00FhI,zyb,1040,529,424,True,False,False,False
CHALLENGER,4sRF4PRsBihKddCZQJ7WlqaaCJadkzXXYqWRo2iaW_36JGs,bro game,929,681,622,False,False,False,False
CHALLENGER,Rp3Cdfo6o4I2csV0Dl5OclzI3k32_sJlWP0HSbkQPwZMQg,JustLikeThatKR,870,531,519,False,False,False,False
CHALLENGER,ZYu0rmsgvRSSorkoZt4BFEiAdoyp_kWrkoNYznsFdmeP7Y4,shui di si chuan,1078,547,473,True,False,False,True
CHALLENGER,s9-1m7QNPw9QvHLPG3lwpLOwiDu64bcfebsPztl1oSLyrQ,메가 우기,888,345,298,True,False,False,False
