1,삼성전자,"83,400",500,-0.60%,100,"4,978,799","5,969,783",55.68,"30,338,355",22.77,8.69,
2,SK하이닉스,"132,000","1,500",+1.15%,"5,000","960,963","728,002",49.91,"6,721,940",33.49,4.25,
3,LG화학,"897,000","4,000",+0.45%,"5,000","633,213","70,592",42.93,"388,014",83.81,1.84,
4,삼성전자우,"74,600",400,-0.53%,100,"613,873","822,887",81.66,"3,111,448",20.37,N/A,
5,삼성바이오로직스,"822,000","10,000",-1.20%,"2,500","543,876","66,165",10.46,"103,602",153.04,4.77,
6,NAVER,"293,000",500,+0.17%,100,"481,292","164,263",55.98,"1,048,506",58.33,10.56,
7,셀트리온,"355,500","1,000",+0.28%,"1,000","479,917","134,998",20.74,"723,578",96.08,11.19,
8,삼성SDI,"679,000","7,000",-1.02%,"5,000","466,911","68,765",44.32,"483,786",231.66,2.94,
9,현대차,"205,000","4,500",-2.15%,"5,000","438,020","213,668",31.07,"2,120,703",48.98,4.32,
10,카카오,"403,000","10,000",+2.54%,500,"356,399","88,437",32.33,"1,162,140",-447.28,-5.81,
11,현대모비스,"285,000","6,000",-2.06%,"5,000","270,906","95,055",43.03,"512,530",17.38,7.28,
12,삼성물산,"142,000","2,500",-1.73%,100,"265,380","186,887",14.31,"797,794",23.79,4.77,
13,기아차,"62,400","1,300",-2.04%,"5,000","252,947","405,363",37.03,"2,012,516",29.00,6.50,
14,LG생활건강,"1,594,000","16,000",-0.99%,"5,000","248,954","15,618",45.45,"29,000",35.71,20.32,
15,POSCO,"282,000","3,000",-1.05%,"5,000","245,867","87,187",50.65,"390,972",25.83,4.18,
16,SK이노베이션,"261,500","17,500",+7.17%,"5,000","241,797","92,466",24.34,"3,704,653",-9.95,-0.20,
17,LG전자,"140,000",0,0.00%,"5,000","229,107","163,648",35.88,"4,317,424",30.41,0.22,
18,엔씨소프트,"961,000","24,000",-2.44%,500,"210,978","21,954",48.87,"126,028",37.60,14.72,
19,SK텔레콤,"247,500","1,500",+0.61%,500,"199,846","80,746",34.15,"442,333",18.23,3.92,
20,SK,"274,000","22,500",+8.95%,200,"192,787","70,360",21.56,"2,022,828","1,156.12",4.31,
21,KB금융,"44,000",450,+1.03%,"5,000","182,955","415,808",65.30,"2,370,172",5.37,8.92,
